Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17
1	'targetImageID',007,'distractorImageID',093,'targetImageFile','.\stim\007','distractorImageFile','.\stim\093','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-04,'targetY',1.469576e-15,'distractor01X',-4.852814e-01,'distractor01Y',8.485281e+00,'distractor02X',1.648528e+01,'distractor02Y',8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',-4.852814e-01,'distractor04Y',-8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	1	calTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\007, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)
2	'targetImageID',007,'distractorImageID',093,'targetImageFile','.\stim\007','distractorImageFile','.\stim\093','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-04,'targetY',1.469576e-15,'distractor01X',-4.852814e-01,'distractor01Y',8.485281e+00,'distractor02X',1.648528e+01,'distractor02Y',8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',-4.852814e-01,'distractor04Y',-8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\007, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\093, 0, 0)
3	'targetImageID',063,'distractorImageID',037,'targetImageFile','.\stim\063','distractorImageFile','.\stim\037','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-4.852814e-01,'targetY',-8.485281e+00,'distractor01X',-04,'distractor01Y',1.469576e-15,'distractor02X',1.648528e+01,'distractor02Y',8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',-4.852814e-01,'distractor04Y',8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\063, 0, 0)	pic(.\stim\037, 0, 0)	pic(.\stim\037, 0, 0)	pic(.\stim\037, 0, 0)	pic(.\stim\037, 0, 0)	pic(.\stim\037, 0, 0)	pic(.\stim\037, 0, 0)	pic(.\stim\037, 0, 0)
4	'targetImageID',020,'distractorImageID',080,'targetImageFile','.\stim\020','distractorImageFile','.\stim\080','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',008,'targetY',012,'distractor01X',-4.852814e-01,'distractor01Y',-8.485281e+00,'distractor02X',1.648528e+01,'distractor02Y',8.485281e+00,'distractor03X',-4.852814e-01,'distractor03Y',8.485281e+00,'distractor04X',-04,'distractor04Y',1.469576e-15,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\020, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\080, 0, 0)
5	'targetImageID',090,'distractorImageID',010,'targetImageFile','.\stim\090','distractorImageFile','.\stim\010','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-04,'targetY',1.469576e-15,'distractor01X',-4.852814e-01,'distractor01Y',8.485281e+00,'distractor02X',-4.852814e-01,'distractor02Y',-8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',1.648528e+01,'distractor04Y',8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\090, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\010, 0, 0)
6	'targetImageID',008,'distractorImageID',092,'targetImageFile','.\stim\008','distractorImageFile','.\stim\092','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',1.648528e+01,'targetY',8.485281e+00,'distractor01X',-04,'distractor01Y',1.469576e-15,'distractor02X',-4.852814e-01,'distractor02Y',-8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',-4.852814e-01,'distractor04Y',8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\008, 0, 0)	pic(.\stim\092, 0, 0)	pic(.\stim\092, 0, 0)	pic(.\stim\092, 0, 0)	pic(.\stim\092, 0, 0)	pic(.\stim\092, 0, 0)	pic(.\stim\092, 0, 0)	pic(.\stim\092, 0, 0)
7	'targetImageID',025,'distractorImageID',075,'targetImageFile','.\stim\025','distractorImageFile','.\stim\075','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-4.852814e-01,'targetY',-8.485281e+00,'distractor01X',1.648528e+01,'distractor01Y',8.485281e+00,'distractor02X',-4.852814e-01,'distractor02Y',8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',-04,'distractor04Y',1.469576e-15,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\025, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\075, 0, 0)
8	'targetImageID',019,'distractorImageID',081,'targetImageFile','.\stim\019','distractorImageFile','.\stim\081','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',1.648528e+01,'targetY',8.485281e+00,'distractor01X',008,'distractor01Y',012,'distractor02X',-4.852814e-01,'distractor02Y',8.485281e+00,'distractor03X',-04,'distractor03Y',1.469576e-15,'distractor04X',-4.852814e-01,'distractor04Y',-8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\019, 0, 0)	pic(.\stim\081, 0, 0)	pic(.\stim\081, 0, 0)	pic(.\stim\081, 0, 0)	pic(.\stim\081, 0, 0)	pic(.\stim\081, 0, 0)	pic(.\stim\081, 0, 0)	pic(.\stim\081, 0, 0)
9	'targetImageID',011,'distractorImageID',089,'targetImageFile','.\stim\011','distractorImageFile','.\stim\089','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-04,'targetY',1.469576e-15,'distractor01X',1.648528e+01,'distractor01Y',8.485281e+00,'distractor02X',-4.852814e-01,'distractor02Y',-8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',-4.852814e-01,'distractor04Y',8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\011, 0, 0)	pic(.\stim\089, 0, 0)	pic(.\stim\089, 0, 0)	pic(.\stim\089, 0, 0)	pic(.\stim\089, 0, 0)	pic(.\stim\089, 0, 0)	pic(.\stim\089, 0, 0)	pic(.\stim\089, 0, 0)
10	'targetImageID',057,'distractorImageID',043,'targetImageFile','.\stim\057','distractorImageFile','.\stim\043','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-4.852814e-01,'targetY',-8.485281e+00,'distractor01X',1.648528e+01,'distractor01Y',8.485281e+00,'distractor02X',008,'distractor02Y',012,'distractor03X',-4.852814e-01,'distractor03Y',8.485281e+00,'distractor04X',-04,'distractor04Y',1.469576e-15,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\057, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\043, 0, 0)
11	'targetImageID',053,'distractorImageID',047,'targetImageFile','.\stim\053','distractorImageFile','.\stim\047','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-04,'targetY',1.469576e-15,'distractor01X',008,'distractor01Y',012,'distractor02X',-4.852814e-01,'distractor02Y',8.485281e+00,'distractor03X',1.648528e+01,'distractor03Y',8.485281e+00,'distractor04X',-4.852814e-01,'distractor04Y',-8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\053, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\047, 0, 0)
12	'targetImageID',082,'distractorImageID',018,'targetImageFile','.\stim\082','distractorImageFile','.\stim\018','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',1.648528e+01,'targetY',8.485281e+00,'distractor01X',-04,'distractor01Y',1.469576e-15,'distractor02X',-4.852814e-01,'distractor02Y',-8.485281e+00,'distractor03X',-4.852814e-01,'distractor03Y',8.485281e+00,'distractor04X',008,'distractor04Y',012,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\082, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\018, 0, 0)
13	'targetImageID',095,'distractorImageID',005,'targetImageFile','.\stim\095','distractorImageFile','.\stim\005','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',1.648528e+01,'targetY',8.485281e+00,'distractor01X',008,'distractor01Y',012,'distractor02X',-4.852814e-01,'distractor02Y',-8.485281e+00,'distractor03X',-04,'distractor03Y',1.469576e-15,'distractor04X',-4.852814e-01,'distractor04Y',8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\095, 0, 0)	pic(.\stim\005, 0, 0)	pic(.\stim\005, 0, 0)	pic(.\stim\005, 0, 0)	pic(.\stim\005, 0, 0)	pic(.\stim\005, 0, 0)	pic(.\stim\005, 0, 0)	pic(.\stim\005, 0, 0)
14	'targetImageID',044,'distractorImageID',056,'targetImageFile','.\stim\044','distractorImageFile','.\stim\056','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',1.648528e+01,'targetY',8.485281e+00,'distractor01X',008,'distractor01Y',012,'distractor02X',-04,'distractor02Y',1.469576e-15,'distractor03X',-4.852814e-01,'distractor03Y',-8.485281e+00,'distractor04X',-4.852814e-01,'distractor04Y',8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\044, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)	pic(.\stim\056, 0, 0)
15	'targetImageID',060,'distractorImageID',040,'targetImageFile','.\stim\060','distractorImageFile','.\stim\040','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-04,'targetY',1.469576e-15,'distractor01X',-4.852814e-01,'distractor01Y',8.485281e+00,'distractor02X',-4.852814e-01,'distractor02Y',-8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',1.648528e+01,'distractor04Y',8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\060, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\040, 0, 0)
16	'targetImageID',075,'distractorImageID',025,'targetImageFile','.\stim\075','distractorImageFile','.\stim\025','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-04,'targetY',1.469576e-15,'distractor01X',1.648528e+01,'distractor01Y',8.485281e+00,'distractor02X',-4.852814e-01,'distractor02Y',-8.485281e+00,'distractor03X',-4.852814e-01,'distractor03Y',8.485281e+00,'distractor04X',008,'distractor04Y',012,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\075, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\025, 0, 0)
17	'targetImageID',079,'distractorImageID',021,'targetImageFile','.\stim\079','distractorImageFile','.\stim\021','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',-4.852814e-01,'targetY',-8.485281e+00,'distractor01X',-04,'distractor01Y',1.469576e-15,'distractor02X',-4.852814e-01,'distractor02Y',8.485281e+00,'distractor03X',008,'distractor03Y',012,'distractor04X',1.648528e+01,'distractor04Y',8.485281e+00,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\079, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\021, 0, 0)
18	'targetImageID',004,'distractorImageID',096,'targetImageFile','.\stim\004','distractorImageFile','.\stim\096','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',008,'targetY',012,'distractor01X',-4.852814e-01,'distractor01Y',8.485281e+00,'distractor02X',1.648528e+01,'distractor02Y',8.485281e+00,'distractor03X',-4.852814e-01,'distractor03Y',-8.485281e+00,'distractor04X',-04,'distractor04Y',1.469576e-15,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\004, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\096, 0, 0)
19	'targetImageID',070,'distractorImageID',030,'targetImageFile','.\stim\070','distractorImageFile','.\stim\030','expectedResponse',002,'trialFlag',002,'holdInitPeriod',10000,'fixInitPeriod',500,'searchPeriod',5000,'respPeriod',5000,'respRadius',004,'holdX',008,'holdY',000,'targetX',1.648528e+01,'targetY',8.485281e+00,'distractor01X',-4.852814e-01,'distractor01Y',-8.485281e+00,'distractor02X',008,'distractor02Y',012,'distractor03X',-4.852814e-01,'distractor03Y',8.485281e+00,'distractor04X',-04,'distractor04Y',1.469576e-15,'distractor05X',208,'distractor05Y',200,'distractor06X',208,'distractor06Y',200,'distractor07X',208,'distractor07Y',200,'distractorPerTrial',004	1	2	oddballTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(3, [0.33 0.33 0], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	crc(3, [0.33 0.33 0], 1, 20, 10)	crc(3, [0.33 0.33 0], 1, 20, -10)	pic(.\stim\070, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\030, 0, 0)
